2023-05-28T17:20:32.368899411Z Service `hwdrivers' needs non existent service `dev'
2023-05-28T17:20:32.368933605Z Service `machine-id' needs non existent service `dev'
2023-05-28T17:20:32.369161483Z  * Caching service dependencies ... [ ok ]
2023-05-28T17:20:32.371447352Z Runlevel: sysinit
2023-05-28T17:20:32.371460357Z Dynamic Runlevel: hotplugged
2023-05-28T17:20:32.371463222Z Dynamic Runlevel: needed/wanted
2023-05-28T17:20:32.371465697Z Dynamic Runlevel: manual
2023-05-28T17:20:32.376876629Z /lib/rc/sh/openrc-run.sh: line 108: can't create /sys/fs/cgroup/blkio/tasks: Read-only file system
2023-05-28T17:20:32.376887920Z /lib/rc/sh/openrc-run.sh: line 108: can't create /sys/fs/cgroup/cpu/tasks: Read-only file system
2023-05-28T17:20:32.376890114Z /lib/rc/sh/openrc-run.sh: line 108: can't create /sys/fs/cgroup/cpuacct/tasks: Read-only file system
2023-05-28T17:20:32.376892058Z /lib/rc/sh/openrc-run.sh: line 108: can't create /sys/fs/cgroup/cpuset/tasks: Read-only file system
2023-05-28T17:20:32.376894903Z /lib/rc/sh/openrc-run.sh: line 108: can't create /sys/fs/cgroup/devices/tasks: Read-only file system
2023-05-28T17:20:32.376897398Z /lib/rc/sh/openrc-run.sh: line 108: can't create /sys/fs/cgroup/freezer/tasks: Read-only file system
2023-05-28T17:20:32.376918930Z /lib/rc/sh/openrc-run.sh: line 108: can't create /sys/fs/cgroup/hugetlb/tasks: Read-only file system
2023-05-28T17:20:32.376947844Z /lib/rc/sh/openrc-run.sh: line 108: can't create /sys/fs/cgroup/memory/tasks: Read-only file system
2023-05-28T17:20:32.376953004Z /lib/rc/sh/openrc-run.sh: line 108: can't create /sys/fs/cgroup/net_cls/tasks: Read-only file system
2023-05-28T17:20:32.376955769Z /lib/rc/sh/openrc-run.sh: line 108: can't create /sys/fs/cgroup/net_prio/tasks: Read-only file system
2023-05-28T17:20:32.376961410Z /lib/rc/sh/openrc-run.sh: line 108: can't create /sys/fs/cgroup/perf_event/tasks: Read-only file system
2023-05-28T17:20:32.376964265Z /lib/rc/sh/openrc-run.sh: line 108: can't create /sys/fs/cgroup/pids/tasks: Read-only file system
2023-05-28T17:20:32.376966960Z /lib/rc/sh/openrc-run.sh: line 108: can't create /sys/fs/cgroup/rdma/tasks: Read-only file system
2023-05-28T17:20:32.376969395Z /lib/rc/sh/openrc-run.sh: line 108: can't create /sys/fs/cgroup/systemd/tasks: Read-only file system
2023-05-28T17:20:32.493030537Z  * Starting sshd ... [ ok ]
2023-05-28T17:20:42.538150137Z [IOT][2023-05-28 17:20:42,537][INFO] starting...
2023-05-28T17:20:42.540922449Z [IOT][2023-05-28 17:20:42,540][INFO] Server started http://localhost:8090
2023-05-28T17:20:42.629208985Z [WORM][2023-05-28 17:20:42,629][INFO] Agent in run mode
2023-05-28T17:20:42.632466322Z [WORM][2023-05-28 17:20:42,632][INFO] Agent initialized...
2023-05-28T17:21:32.951156054Z [WORM][2023-05-28 17:21:32,950][INFO] Running started...
2023-05-28T17:21:32.972774423Z [WORM][2023-05-28 17:21:32,972][INFO] Running started...
2023-05-28T17:21:33.474001043Z [WORM][2023-05-28 17:21:33,473][INFO] fetching info...
2023-05-28T17:21:33.974888607Z [WORM][2023-05-28 17:21:33,974][INFO] fetching info...
2023-05-28T17:21:34.475597606Z [WORM][2023-05-28 17:21:34,475][INFO] pinging...
2023-05-28T17:21:39.983010560Z [WORM][2023-05-28 17:21:39,982][INFO] Idling...
2023-05-28T17:21:48.477442390Z [WORM][2023-05-28 17:21:48,477][INFO] scanning...
2023-05-28T17:21:50.390965259Z [WORM][2023-05-28 17:21:50,390][INFO] fetching info...
2023-05-28T17:21:50.391025021Z [WORM][2023-05-28 17:21:50,390][INFO] fetching info...
2023-05-28T17:21:50.391030081Z [WORM][2023-05-28 17:21:50,390][INFO] fetching info...
2023-05-28T17:21:50.391049547Z [WORM][2023-05-28 17:21:50,390][INFO] fetching info...
2023-05-28T17:21:50.391097607Z [WORM][2023-05-28 17:21:50,391][INFO] fetching info...
2023-05-28T17:21:50.391168771Z [WORM][2023-05-28 17:21:50,391][INFO] fetching info...
2023-05-28T17:21:50.391219456Z [WORM][2023-05-28 17:21:50,391][INFO] fetching info...
2023-05-28T17:21:50.391261494Z [WORM][2023-05-28 17:21:50,391][INFO] fetching info...
2023-05-28T17:21:50.391353317Z [WORM][2023-05-28 17:21:50,391][INFO] fetching info...
2023-05-28T17:21:50.391380408Z [WORM][2023-05-28 17:21:50,391][INFO] fetching info...
2023-05-28T17:21:50.391444037Z [WORM][2023-05-28 17:21:50,391][INFO] fetching info...
2023-05-28T17:21:50.391512385Z [WORM][2023-05-28 17:21:50,391][INFO] fetching info...
2023-05-28T17:21:50.391559143Z [WORM][2023-05-28 17:21:50,391][INFO] fetching info...
2023-05-28T17:21:50.391675562Z [WORM][2023-05-28 17:21:50,391][INFO] fetching info...
2023-05-28T17:21:50.391721548Z [WORM][2023-05-28 17:21:50,391][INFO] fetching info...
2023-05-28T17:21:50.391797922Z [WORM][2023-05-28 17:21:50,391][INFO] fetching info...
2023-05-28T17:21:50.391833829Z [WORM][2023-05-28 17:21:50,391][INFO] fetching info...
