rx_bytes,tx_bytes,rx_packets,tx_packets,ram_usage,cpu_usage,time
12702,8992,93,82,297152512,4807940100,2023-08-12 16:48:07.183861+00:00
12702,8992,93,82,298635264,4874834500,2023-08-12 16:48:08.186787+00:00
12702,8992,93,82,300654592,4910352900,2023-08-12 16:48:09.189350+00:00
12702,8992,93,82,300875776,4974962100,2023-08-12 16:48:10.191889+00:00
12702,8992,93,82,301285376,5036317000,2023-08-12 16:48:11.194834+00:00
14547,10410,107,96,302231552,5099823600,2023-08-12 16:48:12.197902+00:00
14547,10410,107,96,303308800,5161643300,2023-08-12 16:48:13.200459+00:00
14547,10410,107,96,303718400,5228400000,2023-08-12 16:48:14.203287+00:00
14547,10410,107,96,303730688,5290530500,2023-08-12 16:48:15.206250+00:00
14547,10410,107,96,304750592,5354967000,2023-08-12 16:48:16.208344+00:00
15711,11295,114,103,305729536,5422609400,2023-08-12 16:48:17.210644+00:00
15711,11295,114,103,304205824,5455562800,2023-08-12 16:48:18.213698+00:00
15711,11295,114,103,304447488,5528534900,2023-08-12 16:48:19.216754+00:00
15711,11295,114,103,304750592,5592261200,2023-08-12 16:48:20.219007+00:00
15711,11295,114,103,305680384,5656359800,2023-08-12 16:48:21.221221+00:00
17556,12699,128,117,306515968,5723524500,2023-08-12 16:48:22.223805+00:00
17556,12699,128,117,307298304,5790041300,2023-08-12 16:48:23.226621+00:00
17556,12699,128,117,307662848,5854483600,2023-08-12 16:48:24.229955+00:00
17556,12699,128,117,308412416,5917405900,2023-08-12 16:48:25.232598+00:00
17556,12699,128,117,309362688,5979987500,2023-08-12 16:48:26.235070+00:00
18720,13574,135,124,311775232,6019947500,2023-08-12 16:48:27.237459+00:00
18720,13574,135,124,312369152,6089169400,2023-08-12 16:48:28.239875+00:00
18720,13574,135,124,312635392,6155873300,2023-08-12 16:48:29.242961+00:00
18720,13574,135,124,313188352,6219626000,2023-08-12 16:48:30.245031+00:00
19884,14463,142,131,314048512,6285074200,2023-08-12 16:48:31.248115+00:00
20565,14996,149,138,315084800,6352941000,2023-08-12 16:48:32.251056+00:00
20565,14996,149,138,315469824,6419463100,2023-08-12 16:48:33.253656+00:00
20565,14996,149,138,315621376,6482922100,2023-08-12 16:48:34.255952+00:00
20635,14996,150,138,316633088,6545083000,2023-08-12 16:48:35.258363+00:00
21799,15871,157,145,314871808,6585577400,2023-08-12 16:48:36.260815+00:00
21799,15871,157,145,316051456,6641624700,2023-08-12 16:48:37.263023+00:00
21799,15871,157,145,316317696,6707341600,2023-08-12 16:48:38.265821+00:00
21799,15871,157,145,316481536,6771460200,2023-08-12 16:48:39.268015+00:00
21799,15871,157,145,317546496,6834601900,2023-08-12 16:48:40.271225+00:00
22963,16736,164,152,318218240,6899892600,2023-08-12 16:48:41.274409+00:00
