rx_bytes,tx_bytes,rx_packets,tx_packets,ram_usage,cpu_usage,time
1266,486,15,7,10641408,223847900,2023-04-05 22:30:35.820010+00:00
1320,486,16,7,10633216,223959800,2023-04-05 22:30:37.826136+00:00
1320,486,16,7,10633216,223959800,2023-04-05 22:30:39.830710+00:00
1320,486,16,7,10633216,223959800,2023-04-05 22:30:41.835983+00:00
1432,528,18,8,10633216,223959800,2023-04-05 22:30:43.840934+00:00
1432,528,18,8,10633216,223959800,2023-04-05 22:30:45.845684+00:00
1432,676,18,10,10637312,224302200,2023-04-05 22:30:47.850186+00:00
1432,750,18,11,10637312,224302200,2023-04-05 22:30:49.854714+00:00
1432,750,18,11,10633216,224406600,2023-04-05 22:30:51.859351+00:00
1486,750,19,11,10506240,224406600,2023-04-05 22:30:53.864000+00:00
1486,750,19,11,10506240,224406600,2023-04-05 22:30:55.868960+00:00
1486,750,19,11,10506240,224406600,2023-04-05 22:30:57.874177+00:00
1486,750,19,11,10506240,224406600,2023-04-05 22:30:59.878787+00:00
1486,824,19,12,10506240,225141900,2023-04-05 22:31:01.883959+00:00
1486,898,19,13,10506240,225141900,2023-04-05 22:31:03.888905+00:00
1486,972,19,14,10506240,225141900,2023-04-05 22:31:05.893586+00:00
1582,1014,21,15,10502144,225255700,2023-04-05 22:31:07.898380+00:00
1582,1014,21,15,10502144,225255700,2023-04-05 22:31:09.904235+00:00
1582,1014,21,15,10502144,225255700,2023-04-05 22:31:11.908717+00:00
1582,1014,21,15,10502144,225255700,2023-04-05 22:31:13.913534+00:00
1652,1014,22,15,10502144,225255700,2023-04-05 22:31:15.918449+00:00
1652,1162,22,17,10506240,225662700,2023-04-05 22:31:17.924999+00:00
1652,1236,22,18,10506240,225662700,2023-04-05 22:31:19.929642+00:00
1652,1236,22,18,10502144,225765000,2023-04-05 22:31:21.935022+00:00
1706,1236,23,18,10502144,225765000,2023-04-05 22:31:23.939374+00:00
1706,1236,23,18,10502144,225765000,2023-04-05 22:31:25.943953+00:00
1748,1278,24,19,10502144,225765000,2023-04-05 22:31:27.949729+00:00
1748,1278,24,19,10502144,225765000,2023-04-05 22:31:29.955284+00:00
1748,1352,24,20,10506240,226091700,2023-04-05 22:31:31.959851+00:00
1748,1426,24,21,10506240,226091700,2023-04-05 22:31:33.964920+00:00
1748,1500,24,22,10506240,226091700,2023-04-05 22:31:35.970619+00:00
1802,1500,25,22,10502144,226191800,2023-04-05 22:31:37.975702+00:00
1844,1542,26,23,10502144,226191800,2023-04-05 22:31:39.980174+00:00
1844,1542,26,23,10502144,226191800,2023-04-05 22:31:41.985526+00:00
1844,1542,26,23,10502144,226191800,2023-04-05 22:31:43.990161+00:00
1844,1542,26,23,10502144,226191800,2023-04-05 22:31:45.995291+00:00
1844,1690,26,25,10506240,226544100,2023-04-05 22:31:48.001244+00:00
1844,1764,26,26,10506240,226544100,2023-04-05 22:31:50.006349+00:00
1844,1764,26,26,10502144,226650500,2023-04-05 22:31:52.011878+00:00
1898,1764,27,26,10502144,226650500,2023-04-05 22:31:54.017193+00:00
1898,1764,27,26,10502144,226650500,2023-04-05 22:31:56.021743+00:00
1898,1764,27,26,10502144,226650500,2023-04-05 22:31:58.026204+00:00
1898,1764,27,26,10502144,226650500,2023-04-05 22:32:00.031053+00:00
1898,1838,27,27,10506240,227000500,2023-04-05 22:32:02.036242+00:00
1898,1912,27,28,10506240,227000500,2023-04-05 22:32:04.041370+00:00
1898,1986,27,29,10506240,227000500,2023-04-05 22:32:06.046874+00:00
1952,1986,28,29,10502144,227135700,2023-04-05 22:32:08.051452+00:00
1952,1986,28,29,10502144,227135700,2023-04-05 22:32:10.055621+00:00
1952,1986,28,29,10502144,227135700,2023-04-05 22:32:12.060644+00:00
1994,2028,29,30,10502144,227135700,2023-04-05 22:32:14.065866+00:00
1994,2028,29,30,10502144,227135700,2023-04-05 22:32:16.070561+00:00
1994,2176,29,32,10506240,227470700,2023-04-05 22:32:18.075811+00:00
1994,2250,29,33,10506240,227470700,2023-04-05 22:32:20.080333+00:00
2106,2292,31,34,10502144,227569200,2023-04-05 22:32:22.084841+00:00
2160,2292,32,34,10502144,227569200,2023-04-05 22:32:24.090801+00:00
2160,2292,32,34,10502144,227569200,2023-04-05 22:32:26.097001+00:00
2160,2292,32,34,10502144,227569200,2023-04-05 22:32:28.102045+00:00
2160,2292,32,34,10502144,227569200,2023-04-05 22:32:30.107301+00:00
2160,2366,32,35,10506240,227876100,2023-04-05 22:32:32.112684+00:00
2160,2440,32,36,10506240,227876100,2023-04-05 22:32:34.117437+00:00
2160,2514,32,37,10506240,227876100,2023-04-05 22:32:36.122198+00:00
