rx_bytes,tx_bytes,rx_packets,tx_packets,ram_usage,cpu_usage,time
0.0,74.0,0.0,1.0,-4096.0,230000.0,2023-05-28 14:59:54.363666+00:00
0.0,0.0,0.0,0.0,0.0,95100.0,2023-05-28 14:59:55.365878+00:00
0.0,0.0,0.0,0.0,-4096.0,278100.0,2023-05-28 14:59:56.368079+00:00
54.0,148.0,1.0,2.0,-4096.0,1116400.0,2023-05-28 14:59:57.370463+00:00
54.0,74.0,1.0,1.0,0.0,94100.0,2023-05-28 14:59:58.373123+00:00
0.0,0.0,0.0,0.0,0.0,307900.0,2023-05-28 14:59:59.376053+00:00
0.0,74.0,0.0,1.0,0.0,105300.0,2023-05-28 15:00:00.378567+00:00
54.0,0.0,1.0,0.0,0.0,98000.0,2023-05-28 15:00:01.380770+00:00
54.0,74.0,1.0,1.0,4096.0,983100.0,2023-05-28 15:00:02.383544+00:00
0.0,74.0,0.0,1.0,0.0,354400.0,2023-05-28 15:00:03.385835+00:00
0.0,74.0,0.0,1.0,0.0,105300.0,2023-05-28 15:00:04.388508+00:00
0.0,0.0,0.0,0.0,131072.0,227600.0,2023-05-28 15:00:05.391100+00:00
0.0,148.0,0.0,2.0,16384.0,1319700.0,2023-05-28 15:00:06.393647+00:00
42.0,42.0,1.0,1.0,0.0,94000.0,2023-05-28 15:00:07.395764+00:00
54.0,0.0,1.0,0.0,-135168.0,187400.0,2023-05-28 15:00:08.398497+00:00
0.0,0.0,0.0,0.0,0.0,91200.0,2023-05-28 15:00:09.400776+00:00
0.0,74.0,0.0,1.0,-20480.0,774100.0,2023-05-28 15:00:10.402911+00:00
0.0,74.0,0.0,1.0,131072.0,770300.0,2023-05-28 15:00:11.405248+00:00
108.0,0.0,2.0,0.0,-4096.0,270000.0,2023-05-28 15:00:12.407426+00:00
0.0,74.0,0.0,1.0,4096.0,405200.0,2023-05-28 15:00:13.409634+00:00
0.0,74.0,0.0,1.0,0.0,86900.0,2023-05-28 15:00:14.412463+00:00
42.0,116.0,1.0,2.0,20480.0,1352100.0,2023-05-28 15:00:15.414626+00:00
0.0,74.0,0.0,1.0,0.0,98200.0,2023-05-28 15:00:16.416911+00:00
0.0,0.0,0.0,0.0,0.0,95800.0,2023-05-28 15:00:17.419058+00:00
108.0,0.0,2.0,0.0,-4096.0,203200.0,2023-05-28 15:00:18.421579+00:00
0.0,0.0,0.0,0.0,-4096.0,251500.0,2023-05-28 15:00:19.423723+00:00
0.0,148.0,0.0,2.0,8192.0,1509100.0,2023-05-28 15:00:20.426522+00:00
0.0,148.0,0.0,2.0,-20480.0,1206800.0,2023-05-28 15:00:21.428672+00:00
0.0,0.0,0.0,0.0,0.0,97700.0,2023-05-28 15:00:22.431139+00:00
54.0,148.0,1.0,2.0,4096.0,1105100.0,2023-05-28 15:00:23.433658+00:00
54.0,0.0,1.0,0.0,0.0,88600.0,2023-05-28 15:00:24.436064+00:00
0.0,0.0,0.0,0.0,-4096.0,199100.0,2023-05-28 15:00:25.438343+00:00
0.0,0.0,0.0,0.0,-4096.0,307400.0,2023-05-28 15:00:26.441397+00:00
54.0,74.0,1.0,1.0,12288.0,1399000.0,2023-05-28 15:00:27.443700+00:00
0.0,0.0,0.0,0.0,0.0,91100.0,2023-05-28 15:00:28.446252+00:00
0.0,0.0,0.0,0.0,0.0,237300.0,2023-05-28 15:00:29.449257+00:00
0.0,0.0,0.0,0.0,0.0,94200.0,2023-05-28 15:00:30.451601+00:00
54.0,74.0,1.0,1.0,-114688.0,496300.0,2023-05-28 15:00:31.454306+00:00
54.0,74.0,1.0,1.0,0.0,100000.0,2023-05-28 15:00:32.457271+00:00
0.0,74.0,0.0,1.0,-16384.0,951100.0,2023-05-28 15:00:33.459695+00:00
54.0,74.0,1.0,1.0,0.0,100100.0,2023-05-28 15:00:34.461952+00:00
0.0,0.0,0.0,0.0,0.0,98300.0,2023-05-28 15:00:35.464318+00:00
54.0,0.0,1.0,0.0,114688.0,392200.0,2023-05-28 15:00:36.466538+00:00
0.0,0.0,0.0,0.0,-8192.0,306400.0,2023-05-28 15:00:37.468751+00:00
0.0,74.0,0.0,1.0,4096.0,497900.0,2023-05-28 15:00:38.471809+00:00
0.0,74.0,0.0,1.0,0.0,90300.0,2023-05-28 15:00:39.474200+00:00
0.0,74.0,0.0,1.0,0.0,795400.0,2023-05-28 15:00:40.476966+00:00
108.0,74.0,2.0,1.0,0.0,95400.0,2023-05-28 15:00:41.479176+00:00
54.0,0.0,1.0,0.0,0.0,236300.0,2023-05-28 15:00:42.481475+00:00
0.0,74.0,0.0,1.0,20480.0,1589000.0,2023-05-28 15:00:43.483895+00:00
54.0,0.0,1.0,0.0,0.0,238300.0,2023-05-28 15:00:44.487050+00:00
0.0,0.0,0.0,0.0,-4096.0,256700.0,2023-05-28 15:00:45.489311+00:00
0.0,0.0,0.0,0.0,0.0,102900.0,2023-05-28 15:00:46.492007+00:00
0.0,74.0,0.0,1.0,4096.0,1279900.0,2023-05-28 15:00:47.494616+00:00
54.0,74.0,1.0,1.0,-4096.0,575900.0,2023-05-28 15:00:48.497168+00:00
0.0,74.0,0.0,1.0,-114688.0,106700.0,2023-05-28 15:00:49.499524+00:00
0.0,0.0,0.0,0.0,0.0,97700.0,2023-05-28 15:00:50.501921+00:00
0.0,74.0,0.0,1.0,0.0,293900.0,2023-05-28 15:00:51.504136+00:00
54.0,74.0,1.0,1.0,-20480.0,770200.0,2023-05-28 15:00:52.506228+00:00
0.0,0.0,0.0,0.0,-4096.0,241500.0,2023-05-28 15:00:53.508939+00:00
54.0,0.0,1.0,0.0,0.0,103700.0,2023-05-28 15:00:54.511399+00:00
0.0,0.0,0.0,0.0,0.0,102400.0,2023-05-28 15:00:55.513605+00:00
0.0,74.0,0.0,1.0,20480.0,1181500.0,2023-05-28 15:00:56.516749+00:00
42.0,42.0,1.0,1.0,0.0,252600.0,2023-05-28 15:00:57.518915+00:00
54.0,74.0,1.0,1.0,131072.0,384600.0,2023-05-28 15:00:58.521405+00:00
0.0,74.0,0.0,1.0,-126976.0,93700.0,2023-05-28 15:00:59.524448+00:00
54.0,0.0,1.0,0.0,0.0,112900.0,2023-05-28 15:01:00.526747+00:00
42.0,116.0,1.0,2.0,0.0,102900.0,2023-05-28 15:01:01.528932+00:00
0.0,148.0,0.0,2.0,73728.0,2316400.0,2023-05-28 15:01:02.531704+00:00
0.0,0.0,0.0,0.0,0.0,199800.0,2023-05-28 15:01:03.533867+00:00
54.0,0.0,1.0,0.0,0.0,228700.0,2023-05-28 15:01:04.536349+00:00
0.0,0.0,0.0,0.0,0.0,95400.0,2023-05-28 15:01:05.539258+00:00
0.0,0.0,0.0,0.0,0.0,269800.0,2023-05-28 15:01:06.541663+00:00
0.0,0.0,0.0,0.0,-90112.0,102100.0,2023-05-28 15:01:07.543849+00:00
54.0,74.0,1.0,1.0,4096.0,419900.0,2023-05-28 15:01:08.546860+00:00
54.0,148.0,1.0,2.0,-4096.0,1930100.0,2023-05-28 15:01:09.549099+00:00
0.0,74.0,0.0,1.0,0.0,94600.0,2023-05-28 15:01:10.551603+00:00
0.0,0.0,0.0,0.0,0.0,94800.0,2023-05-28 15:01:11.554441+00:00
0.0,222.0,0.0,3.0,8192.0,2037500.0,2023-05-28 15:01:12.556786+00:00
54.0,0.0,1.0,0.0,-4096.0,307300.0,2023-05-28 15:01:13.559094+00:00
0.0,0.0,0.0,0.0,0.0,105600.0,2023-05-28 15:01:14.561620+00:00
0.0,0.0,0.0,0.0,0.0,228000.0,2023-05-28 15:01:15.563758+00:00
0.0,0.0,0.0,0.0,0.0,92500.0,2023-05-28 15:01:16.566175+00:00
54.0,74.0,1.0,1.0,0.0,361200.0,2023-05-28 15:01:17.568979+00:00
0.0,74.0,0.0,1.0,0.0,300300.0,2023-05-28 15:01:18.571581+00:00
54.0,74.0,1.0,1.0,65536.0,1269400.0,2023-05-28 15:01:19.574097+00:00
0.0,74.0,0.0,1.0,0.0,252500.0,2023-05-28 15:01:20.576449+00:00
0.0,0.0,0.0,0.0,-49152.0,88700.0,2023-05-28 15:01:21.578671+00:00
42.0,116.0,1.0,2.0,98304.0,1324000.0,2023-05-28 15:01:22.581003+00:00
108.0,74.0,2.0,1.0,12288.0,377100.0,2023-05-28 15:01:23.583738+00:00
0.0,74.0,0.0,1.0,-135168.0,284000.0,2023-05-28 15:01:24.586130+00:00
0.0,0.0,0.0,0.0,0.0,117000.0,2023-05-28 15:01:25.588586+00:00
0.0,74.0,0.0,1.0,8192.0,933100.0,2023-05-28 15:01:26.591473+00:00
0.0,74.0,0.0,1.0,0.0,94300.0,2023-05-28 15:01:27.594367+00:00
0.0,0.0,0.0,0.0,-4096.0,218100.0,2023-05-28 15:01:28.596826+00:00
54.0,0.0,1.0,0.0,0.0,240500.0,2023-05-28 15:01:29.599223+00:00
108.0,74.0,2.0,1.0,-4096.0,1182600.0,2023-05-28 15:01:30.601522+00:00
0.0,0.0,0.0,0.0,-4096.0,97300.0,2023-05-28 15:01:31.603750+00:00
0.0,148.0,0.0,2.0,143360.0,1425900.0,2023-05-28 15:01:32.607052+00:00
108.0,74.0,2.0,1.0,-126976.0,91300.0,2023-05-28 15:01:33.609383+00:00
0.0,0.0,0.0,0.0,0.0,90300.0,2023-05-28 15:01:34.611736+00:00
0.0,74.0,0.0,1.0,0.0,89500.0,2023-05-28 15:01:35.614389+00:00
0.0,74.0,0.0,1.0,-8192.0,1007500.0,2023-05-28 15:01:36.616902+00:00
0.0,74.0,0.0,1.0,24576.0,1360100.0,2023-05-28 15:01:37.619134+00:00
54.0,0.0,1.0,0.0,-4096.0,217500.0,2023-05-28 15:01:38.621608+00:00
