rx_bytes,tx_bytes,rx_packets,tx_packets,ram_usage,cpu_usage,time
28232,56982,532,799,12398592,1749418000,2023-05-28 14:59:53.361371+00:00
28232,57056,532,800,12394496,1749648000,2023-05-28 14:59:54.363666+00:00
28232,57056,532,800,12394496,1749743100,2023-05-28 14:59:55.365878+00:00
28232,57056,532,800,12390400,1750021200,2023-05-28 14:59:56.368079+00:00
28286,57204,533,802,12386304,1751137600,2023-05-28 14:59:57.370463+00:00
28340,57278,534,803,12386304,1751231700,2023-05-28 14:59:58.373123+00:00
28340,57278,534,803,12386304,1751539600,2023-05-28 14:59:59.376053+00:00
28340,57352,534,804,12386304,1751644900,2023-05-28 15:00:00.378567+00:00
28394,57352,535,804,12386304,1751742900,2023-05-28 15:00:01.380770+00:00
28448,57426,536,805,12390400,1752726000,2023-05-28 15:00:02.383544+00:00
28448,57500,536,806,12390400,1753080400,2023-05-28 15:00:03.385835+00:00
28448,57574,536,807,12390400,1753185700,2023-05-28 15:00:04.388508+00:00
28448,57574,536,807,12521472,1753413300,2023-05-28 15:00:05.391100+00:00
28448,57722,536,809,12537856,1754733000,2023-05-28 15:00:06.393647+00:00
28490,57764,537,810,12537856,1754827000,2023-05-28 15:00:07.395764+00:00
28544,57764,538,810,12402688,1755014400,2023-05-28 15:00:08.398497+00:00
28544,57764,538,810,12402688,1755105600,2023-05-28 15:00:09.400776+00:00
28544,57838,538,811,12382208,1755879700,2023-05-28 15:00:10.402911+00:00
28544,57912,538,812,12513280,1756650000,2023-05-28 15:00:11.405248+00:00
28652,57912,540,812,12509184,1756920000,2023-05-28 15:00:12.407426+00:00
28652,57986,540,813,12513280,1757325200,2023-05-28 15:00:13.409634+00:00
28652,58060,540,814,12513280,1757412100,2023-05-28 15:00:14.412463+00:00
28694,58176,541,816,12533760,1758764200,2023-05-28 15:00:15.414626+00:00
28694,58250,541,817,12533760,1758862400,2023-05-28 15:00:16.416911+00:00
28694,58250,541,817,12533760,1758958200,2023-05-28 15:00:17.419058+00:00
28802,58250,543,817,12529664,1759161400,2023-05-28 15:00:18.421579+00:00
28802,58250,543,817,12525568,1759412900,2023-05-28 15:00:19.423723+00:00
28802,58398,543,819,12533760,1760922000,2023-05-28 15:00:20.426522+00:00
28802,58546,543,821,12513280,1762128800,2023-05-28 15:00:21.428672+00:00
28802,58546,543,821,12513280,1762226500,2023-05-28 15:00:22.431139+00:00
28856,58694,544,823,12517376,1763331600,2023-05-28 15:00:23.433658+00:00
28910,58694,545,823,12517376,1763420200,2023-05-28 15:00:24.436064+00:00
28910,58694,545,823,12513280,1763619300,2023-05-28 15:00:25.438343+00:00
28910,58694,545,823,12509184,1763926700,2023-05-28 15:00:26.441397+00:00
28964,58768,546,824,12521472,1765325700,2023-05-28 15:00:27.443700+00:00
28964,58768,546,824,12521472,1765416800,2023-05-28 15:00:28.446252+00:00
28964,58768,546,824,12521472,1765654100,2023-05-28 15:00:29.449257+00:00
28964,58768,546,824,12521472,1765748300,2023-05-28 15:00:30.451601+00:00
29018,58842,547,825,12406784,1766244600,2023-05-28 15:00:31.454306+00:00
29072,58916,548,826,12406784,1766344600,2023-05-28 15:00:32.457271+00:00
29072,58990,548,827,12390400,1767295700,2023-05-28 15:00:33.459695+00:00
29126,59064,549,828,12390400,1767395800,2023-05-28 15:00:34.461952+00:00
29126,59064,549,828,12390400,1767494100,2023-05-28 15:00:35.464318+00:00
29180,59064,550,828,12505088,1767886300,2023-05-28 15:00:36.466538+00:00
29180,59064,550,828,12496896,1768192700,2023-05-28 15:00:37.468751+00:00
29180,59138,550,829,12500992,1768690600,2023-05-28 15:00:38.471809+00:00
29180,59212,550,830,12500992,1768780900,2023-05-28 15:00:39.474200+00:00
29180,59286,550,831,12500992,1769576300,2023-05-28 15:00:40.476966+00:00
29288,59360,552,832,12500992,1769671700,2023-05-28 15:00:41.479176+00:00
29342,59360,553,832,12500992,1769908000,2023-05-28 15:00:42.481475+00:00
29342,59434,553,833,12521472,1771497000,2023-05-28 15:00:43.483895+00:00
29396,59434,554,833,12521472,1771735300,2023-05-28 15:00:44.487050+00:00
29396,59434,554,833,12517376,1771992000,2023-05-28 15:00:45.489311+00:00
29396,59434,554,833,12517376,1772094900,2023-05-28 15:00:46.492007+00:00
29396,59508,554,834,12521472,1773374800,2023-05-28 15:00:47.494616+00:00
29450,59582,555,835,12517376,1773950700,2023-05-28 15:00:48.497168+00:00
29450,59656,555,836,12402688,1774057400,2023-05-28 15:00:49.499524+00:00
29450,59656,555,836,12402688,1774155100,2023-05-28 15:00:50.501921+00:00
29450,59730,555,837,12402688,1774449000,2023-05-28 15:00:51.504136+00:00
29504,59804,556,838,12382208,1775219200,2023-05-28 15:00:52.506228+00:00
29504,59804,556,838,12378112,1775460700,2023-05-28 15:00:53.508939+00:00
29558,59804,557,838,12378112,1775564400,2023-05-28 15:00:54.511399+00:00
29558,59804,557,838,12378112,1775666800,2023-05-28 15:00:55.513605+00:00
29558,59878,557,839,12398592,1776848300,2023-05-28 15:00:56.516749+00:00
29600,59920,558,840,12398592,1777100900,2023-05-28 15:00:57.518915+00:00
29654,59994,559,841,12529664,1777485500,2023-05-28 15:00:58.521405+00:00
29654,60068,559,842,12402688,1777579200,2023-05-28 15:00:59.524448+00:00
29708,60068,560,842,12402688,1777692100,2023-05-28 15:01:00.526747+00:00
29750,60184,561,844,12402688,1777795000,2023-05-28 15:01:01.528932+00:00
29750,60332,561,846,12476416,1780111400,2023-05-28 15:01:02.531704+00:00
29750,60332,561,846,12476416,1780311200,2023-05-28 15:01:03.533867+00:00
29804,60332,562,846,12476416,1780539900,2023-05-28 15:01:04.536349+00:00
29804,60332,562,846,12476416,1780635300,2023-05-28 15:01:05.539258+00:00
29804,60332,562,846,12476416,1780905100,2023-05-28 15:01:06.541663+00:00
29804,60332,562,846,12386304,1781007200,2023-05-28 15:01:07.543849+00:00
29858,60406,563,847,12390400,1781427100,2023-05-28 15:01:08.546860+00:00
29912,60554,564,849,12386304,1783357200,2023-05-28 15:01:09.549099+00:00
29912,60628,564,850,12386304,1783451800,2023-05-28 15:01:10.551603+00:00
29912,60628,564,850,12386304,1783546600,2023-05-28 15:01:11.554441+00:00
29912,60850,564,853,12394496,1785584100,2023-05-28 15:01:12.556786+00:00
29966,60850,565,853,12390400,1785891400,2023-05-28 15:01:13.559094+00:00
29966,60850,565,853,12390400,1785997000,2023-05-28 15:01:14.561620+00:00
29966,60850,565,853,12390400,1786225000,2023-05-28 15:01:15.563758+00:00
29966,60850,565,853,12390400,1786317500,2023-05-28 15:01:16.566175+00:00
30020,60924,566,854,12390400,1786678700,2023-05-28 15:01:17.568979+00:00
30020,60998,566,855,12390400,1786979000,2023-05-28 15:01:18.571581+00:00
30074,61072,567,856,12455936,1788248400,2023-05-28 15:01:19.574097+00:00
30074,61146,567,857,12455936,1788500900,2023-05-28 15:01:20.576449+00:00
30074,61146,567,857,12406784,1788589600,2023-05-28 15:01:21.578671+00:00
30116,61262,568,859,12505088,1789913600,2023-05-28 15:01:22.581003+00:00
30224,61336,570,860,12517376,1790290700,2023-05-28 15:01:23.583738+00:00
30224,61410,570,861,12382208,1790574700,2023-05-28 15:01:24.586130+00:00
30224,61410,570,861,12382208,1790691700,2023-05-28 15:01:25.588586+00:00
30224,61484,570,862,12390400,1791624800,2023-05-28 15:01:26.591473+00:00
30224,61558,570,863,12390400,1791719100,2023-05-28 15:01:27.594367+00:00
30224,61558,570,863,12386304,1791937200,2023-05-28 15:01:28.596826+00:00
30278,61558,571,863,12386304,1792177700,2023-05-28 15:01:29.599223+00:00
30386,61632,573,864,12382208,1793360300,2023-05-28 15:01:30.601522+00:00
30386,61632,573,864,12378112,1793457600,2023-05-28 15:01:31.603750+00:00
30386,61780,573,866,12521472,1794883500,2023-05-28 15:01:32.607052+00:00
30494,61854,575,867,12394496,1794974800,2023-05-28 15:01:33.609383+00:00
30494,61854,575,867,12394496,1795065100,2023-05-28 15:01:34.611736+00:00
30494,61928,575,868,12394496,1795154600,2023-05-28 15:01:35.614389+00:00
30494,62002,575,869,12386304,1796162100,2023-05-28 15:01:36.616902+00:00
30494,62076,575,870,12410880,1797522200,2023-05-28 15:01:37.619134+00:00
30548,62076,576,870,12406784,1797739700,2023-05-28 15:01:38.621608+00:00
30548,62150,576,871,12410880,1798291900,2023-05-28 15:01:39.624037+00:00
30602,62298,577,873,12386304,1799489600,2023-05-28 15:01:40.626234+00:00
