[IOT][2023-05-28 13:13:22,436][INFO] starting...
2023-05-28T13:13:22.522731296Z [WORM][2023-05-28 13:13:22,522][INFO] Agent initialized...
2023-05-28T13:15:03.608530103Z [WORM][2023-05-28 13:15:03,608][INFO] Training started...
2023-05-28T13:15:04.610526677Z [WORM][2023-05-28 13:15:04,610][INFO] log:0;reward=0.0;action=1;reward_sum=0.0
2023-05-28T13:15:04.610749154Z [WORM][2023-05-28 13:15:04,610][INFO] scanning...
2023-05-28T13:15:05.111905733Z [WORM][2023-05-28 13:15:05,111][INFO] log:0;reward=10.0;action=2;reward_sum=10.0
2023-05-28T13:15:05.612576816Z [WORM][2023-05-28 13:15:05,612][INFO] log:0;reward=0;action=3;reward_sum=10.0
2023-05-28T13:15:06.113356873Z [WORM][2023-05-28 13:15:06,113][INFO] log:0;reward=0.10016574859619176;action=2;reward_sum=10.100165748596192
2023-05-28T13:15:06.614457177Z [WORM][2023-05-28 13:15:06,614][INFO] fetching info...
2023-05-28T13:15:07.115244552Z [WORM][2023-05-28 13:15:07,114][INFO] log:1;reward=20.0;action=4;reward_sum=20.0
2023-05-28T13:15:08.116817110Z [WORM][2023-05-28 13:15:08,116][INFO] log:2;reward=0.0;action=1;reward_sum=0.0
2023-05-28T13:15:08.117105992Z [WORM][2023-05-28 13:15:08,116][INFO] scanning...
2023-05-28T13:15:08.618041125Z [WORM][2023-05-28 13:15:08,617][INFO] log:2;reward=0.2504667043685913;action=2;reward_sum=0.2504667043685913
2023-05-28T13:15:09.118861313Z [WORM][2023-05-28 13:15:09,118][INFO] log:2;reward=5.0;action=0;reward_sum=5.250466704368591
2023-05-28T13:15:10.120257430Z [WORM][2023-05-28 13:15:10,120][INFO] log:3;reward=0.0;action=1;reward_sum=0.0
2023-05-28T13:15:11.121800462Z [WORM][2023-05-28 13:15:11,121][INFO] log:4;reward=0;action=3;reward_sum=0.0
2023-05-28T13:15:11.622870459Z [WORM][2023-05-28 13:15:11,622][INFO] pinging...
2023-05-28T13:15:12.123695966Z [WORM][2023-05-28 13:15:12,123][INFO] log:5;reward=0.15024193525314278;action=0;reward_sum=0.15024193525314278
2023-05-28T13:15:12.624592687Z [WORM][2023-05-28 13:15:12,624][INFO] log:5;reward=1.1018769264221184;action=4;reward_sum=1.2521188616752612
2023-05-28T13:15:13.125350728Z [WORM][2023-05-28 13:15:13,125][INFO] log:5;reward=0.05008333921432495;action=0;reward_sum=1.3022022008895862
2023-05-28T13:15:14.126897157Z [WORM][2023-05-28 13:15:14,126][INFO] log:6;reward=0;action=3;reward_sum=0.0
2023-05-28T13:15:14.627972664Z [WORM][2023-05-28 13:15:14,627][INFO] scanning...
2023-05-28T13:15:15.128810013Z [WORM][2023-05-28 13:15:15,128][INFO] log:7;reward=0.6510791063308723;action=2;reward_sum=0.6510791063308723
2023-05-28T13:15:15.629728332Z [WORM][2023-05-28 13:15:15,629][INFO] log:7;reward=0;action=3;reward_sum=0.6510791063308723
