rx_bytes,tx_bytes,rx_packets,tx_packets,ram_usage,cpu_usage,time
13372,34168,260,508,10493952,785032000,2023-04-10 10:17:48.639423+00:00
13372,34168,260,508,10493952,785032000,2023-04-10 10:17:49.651613+00:00
13372,34242,260,509,10493952,785032000,2023-04-10 10:17:50.676489+00:00
13372,34242,260,509,10481664,785655000,2023-04-10 10:17:51.687737+00:00
13414,34284,261,510,10481664,785655000,2023-04-10 10:17:52.703111+00:00
13414,34284,261,510,10481664,785655000,2023-04-10 10:17:53.717409+00:00
13414,34284,261,510,10481664,785655000,2023-04-10 10:17:54.737571+00:00
13414,34284,261,510,10481664,785655000,2023-04-10 10:17:55.758912+00:00
13414,34284,261,510,10481664,785655000,2023-04-10 10:17:56.774363+00:00
13414,34284,261,510,10481664,785655000,2023-04-10 10:17:57.792590+00:00
13414,34284,261,510,10481664,785655000,2023-04-10 10:17:58.808427+00:00
13414,34284,261,510,10481664,785655000,2023-04-10 10:17:59.830841+00:00
13414,34284,261,510,10481664,785655000,2023-04-10 10:18:00.844749+00:00
13414,34358,261,511,10489856,787813000,2023-04-10 10:18:01.874432+00:00
13414,34432,261,512,10489856,787813000,2023-04-10 10:18:02.885545+00:00
13414,34432,261,512,10489856,787813000,2023-04-10 10:18:03.902312+00:00
13414,34506,261,513,10489856,787813000,2023-04-10 10:18:04.914630+00:00
13414,34506,261,513,10489856,787813000,2023-04-10 10:18:05.931234+00:00
13414,34506,261,513,10481664,788406000,2023-04-10 10:18:06.944764+00:00
13456,34548,262,514,10481664,788406000,2023-04-10 10:18:07.967225+00:00
13456,34548,262,514,10481664,788406000,2023-04-10 10:18:08.980835+00:00
13456,34548,262,514,10481664,788406000,2023-04-10 10:18:09.999912+00:00
13456,34548,262,514,10481664,788406000,2023-04-10 10:18:11.019570+00:00
13456,34548,262,514,10481664,788406000,2023-04-10 10:18:12.038815+00:00
13456,34548,262,514,10481664,788406000,2023-04-10 10:18:13.059245+00:00
13456,34548,262,514,10481664,788406000,2023-04-10 10:18:14.069593+00:00
13456,34548,262,514,10481664,788406000,2023-04-10 10:18:15.080642+00:00
13456,34548,262,514,10481664,788406000,2023-04-10 10:18:16.095247+00:00
13510,34622,263,515,10489856,791222000,2023-04-10 10:18:17.115439+00:00
13510,34696,263,516,10489856,791222000,2023-04-10 10:18:18.128717+00:00
13510,34696,263,516,10489856,791222000,2023-04-10 10:18:19.144697+00:00
13510,34770,263,517,10489856,791222000,2023-04-10 10:18:20.159829+00:00
13510,34770,263,517,10489856,791222000,2023-04-10 10:18:21.173260+00:00
13510,34770,263,517,10481664,791879000,2023-04-10 10:18:22.189365+00:00
13510,34770,263,517,10481664,791879000,2023-04-10 10:18:23.207638+00:00
13510,34770,263,517,10481664,791879000,2023-04-10 10:18:24.221842+00:00
13510,34770,263,517,10481664,791879000,2023-04-10 10:18:25.232364+00:00
13510,34770,263,517,10481664,791879000,2023-04-10 10:18:26.241382+00:00
13510,34770,263,517,10481664,791879000,2023-04-10 10:18:27.258092+00:00
13510,34770,263,517,10481664,791879000,2023-04-10 10:18:28.275609+00:00
13510,34770,263,517,10481664,791879000,2023-04-10 10:18:29.292781+00:00
13510,34770,263,517,10481664,791879000,2023-04-10 10:18:30.302236+00:00
13510,34770,263,517,10481664,791879000,2023-04-10 10:18:31.315395+00:00
13564,34844,264,518,10489856,792982000,2023-04-10 10:18:32.329571+00:00
